,title_year,genres,total_voted_users,avg_voted_users,total_reviews,avg_reviews,movie_count
0,1965.0,Drama|Romance|War,55816,55816.0,255.0,255.0,1
1,1968.0,Western,216005,216005.0,565.0,565.0,1
2,1969.0,Comedy|Drama|Musical|Romance|Western,9352,9352.0,106.0,106.0,1
3,1978.0,Musical|Romance,170027,170027.0,350.0,350.0,1
4,1983.0,Crime|Drama,57363,57363.0,308.0,308.0,1
5,1984.0,Action|Adventure|Sci-Fi,97087,97087.0,569.0,569.0,1
6,1984.0,Action|Drama|War,41776,41776.0,383.0,383.0,1
7,1985.0,Action|Adventure|Fantasy,30215,30215.0,95.0,95.0,1
8,1985.0,Action|Adventure|Sci-Fi|Thriller,101840,101840.0,193.0,193.0,1
9,1985.0,Action|Comedy|Drama|Music,9424,9424.0,109.0,109.0,1
10,1985.0,Action|Crime|Drama|Western,28247,28247.0,149.0,149.0,1
11,1985.0,Adventure|Comedy|Drama|Fantasy,33597,33597.0,185.0,185.0,1
12,1985.0,Adventure|Fantasy|Mystery|Thriller,14870,14870.0,86.0,86.0,1
13,1985.0,Drama,60988,60988.0,199.0,199.0,1
14,1986.0,Action|Adventure|Comedy|Fantasy,92464,92464.0,331.0,331.0,1
15,1986.0,Action|Adventure|Comedy|Fantasy|Mystery,39798,39798.0,69.0,69.0,1
16,1986.0,Adventure|Comedy,74743,74743.0,93.0,93.0,1
17,1986.0,Adventure|Crime|Drama|Romance,4081,4081.0,28.0,28.0,1
18,1986.0,Comedy|Drama|Fantasy|Romance,27149,27149.0,96.0,96.0,1
19,1986.0,Comedy|Horror|Musical|Sci-Fi,49349,49349.0,165.0,165.0,1
20,1987.0,Action|Adventure|Comedy|Music|Thriller,8692,8692.0,126.0,126.0,1
21,1987.0,Adventure|Horror|Thriller,30840,30840.0,383.0,383.0,1
22,1987.0,Biography|Drama|History,70274,70274.0,133.0,133.0,1
23,1987.0,Biography|Drama|Music,21409,21409.0,63.0,63.0,1
24,1988.0,Comedy|Drama|Fantasy,61396,61396.0,159.0,159.0,1
25,1988.0,Comedy|Romance|Sci-Fi,21079,21079.0,55.0,55.0,1
26,1988.0,Horror|Thriller,13190,13190.0,114.0,114.0,1
27,1989.0,Action|Adventure,269033,269033.0,817.0,817.0,1
