city,price,property_type
Islamabad,26900000,House
Islamabad,37900000,House
Rawalpindi,27800000,House
Islamabad,29000000,House
Faisalabad,29000000,House
Lahore,6950000,House
Rawalpindi,17200000,House
Lahore,8000000,House
Karachi,140000,House
Lahore,14700000,House
Karachi,90000,House
Lahore,43000000,House
Karachi,27900000,House
Islamabad,135000,House
Islamabad,2850000,House
Karachi,10100000,House
Karachi,149000,House
Lahore,33800000,House
Karachi,6850000,House
Islamabad,11700000,House
Faisalabad,130000,House
Faisalabad,85000,House
Islamabad,52000,House
Faisalabad,11500000,House
Islamabad,1400000,House
Karachi,20500000,House
Faisalabad,2400000,House
Islamabad,13600000,House
Rawalpindi,5250000,House
Karachi,13700000,House
Faisalabad,2600000,House
Lahore,7860000,House
Faisalabad,3400000,House
Faisalabad,3250000,House
Faisalabad,21500000,House
Rawalpindi,4150000,House
Islamabad,43600000,House
Karachi,8900000,House
Karachi,19000,House
Islamabad,10500000,House
Lahore,4000000,House
Islamabad,4600000,House
Islamabad,40000,House
Lahore,3850000,House
Rawalpindi,2400000,House
Lahore,20600000,House
Islamabad,21000,House
Rawalpindi,38500000,House
Lahore,10800000,House
Karachi,38000,House
Faisalabad,50000,House
Faisalabad,40000,House
Lahore,2490000,House
Karachi,9450000,House
Lahore,2200000,House
Lahore,1800000,House
Islamabad,7900000,House
Rawalpindi,1600000,House
Karachi,5950000,House
Islamabad,215000,House
Lahore,44900000,House
Rawalpindi,32000,House
Karachi,125000,House
Karachi,400000,House
Karachi,23500000,House
Lahore,13200000,House
Lahore,17400000,House
Islamabad,22000000,House
Karachi,25000000,House
Karachi,16300000,House
Lahore,3100000,House
Lahore,2395000,House
Rawalpindi,7600000,House
Islamabad,3650000,House
Rawalpindi,68000,House
Karachi,16600000,House
Islamabad,10600000,House
Rawalpindi,28800000,House
Lahore,20000000,House
Karachi,135000,House
Lahore,2300000,House
Karachi,30000,House
Karachi,5250000,House
Karachi,265000,House
Islamabad,43000,House
Islamabad,29900000,House
Rawalpindi,14800000,House
Islamabad,2150000,House
Rawalpindi,14900000,House
Lahore,19100000,House
Karachi,4000000,House
Lahore,5550000,House
Karachi,7600000,House
Islamabad,260000,House
Islamabad,5490000,House
Islamabad,34000000,House
Faisalabad,5800000,House
Lahore,12700000,House
Lahore,2550000,House
Faisalabad,32000000,House
Faisalabad,97000,House
Islamabad,175000,House
Faisalabad,25000,House
Islamabad,65000,House
Islamabad,13700000,House
Lahore,10600000,House
Rawalpindi,5100000,House
Islamabad,76000,House
Islamabad,16500000,House
Lahore,7000000,House
Karachi,35000000,House
Islamabad,32000000,House
Karachi,12700000,House
Islamabad,10700000,House
Karachi,450000,House
Faisalabad,125000,House
Rawalpindi,95000,House
Islamabad,325000,House
Lahore,1300000,House
Rawalpindi,6050000,House
Islamabad,4999000,House
Lahore,24400000,House
Islamabad,650000,House
Faisalabad,12000000,House
Lahore,4650000,House
Lahore,3990000,House
Karachi,3650000,House
Islamabad,3550000,House
Karachi,12900000,House
Lahore,42900000,House
Islamabad,30000000,House
Faisalabad,16000000,House
Islamabad,70000,House
Islamabad,7700000,House
Karachi,4100000,House
Faisalabad,1700000,House
Rawalpindi,220000,House
Islamabad,15100000,House
Islamabad,18500000,House
Rawalpindi,3000000,House
Karachi,360000,House
Karachi,28000,House
Lahore,4450000,House
Islamabad,5950000,House
Rawalpindi,14600000,House
Lahore,28800000,House
Islamabad,2650000,House
Islamabad,29400000,House
Lahore,44500000,House
Lahore,2000000,House
Karachi,29000000,House
Karachi,37500000,House
Islamabad,152000,House
Islamabad,3400000,House
Karachi,9550000,House
Rawalpindi,32000000,House
Rawalpindi,8600000,House
Rawalpindi,6500000,House
Rawalpindi,16900000,House
Faisalabad,3800000,House
Karachi,5900000,House
Islamabad,145000,House
Faisalabad,8100000,House
Lahore,8250000,House
Karachi,5700000,House
Karachi,9900000,House
Lahore,3650000,House
Lahore,12100000,House
Islamabad,19400000,House
Lahore,3250000,House
Islamabad,415000,House
Rawalpindi,39500000,House
Karachi,9000000,House
Karachi,2500000,House
Faisalabad,75000,House
Lahore,38000000,House
Islamabad,1100000,House
Karachi,690000,House
Islamabad,61000,House
Lahore,6190000,House
Faisalabad,22500,House
Karachi,2800000,House
Lahore,4930000,House
Karachi,19500000,House
Lahore,4050000,House
Islamabad,115000,House
Lahore,9650000,House
Islamabad,89000,House
Islamabad,10100000,House
Karachi,155000,House
Lahore,3999000,House
Lahore,3995000,House
Lahore,9995000,House
Lahore,17000000,House
Lahore,32900000,House
Karachi,17000,House
Rawalpindi,11200000,House
Islamabad,9850000,House
Lahore,17900000,House
Islamabad,59000,House
Islamabad,64000,House
Rawalpindi,22400000,House
Rawalpindi,160000,House
Islamabad,6075000,House
Rawalpindi,10800000,House
Rawalpindi,9132000,House
Rawalpindi,65000,House
Lahore,37500000,House
Karachi,8300000,House
Lahore,20700000,House
Islamabad,68000,House
Karachi,21000,House
Rawalpindi,7400000,House
Karachi,18200000,House
Islamabad,29000,House
Rawalpindi,4350000,House
Rawalpindi,27000000,House
Rawalpindi,46000,House
Rawalpindi,5950000,House
Faisalabad,5700000,House
Rawalpindi,13200000,House
Islamabad,15400000,House
Lahore,2100000,House
Faisalabad,21000,House
Islamabad,3050000,House
Islamabad,51000,House
Lahore,23800000,House
Rawalpindi,23500,House
Rawalpindi,9990000,House
Faisalabad,8900000,House
Faisalabad,30000,House
Rawalpindi,1900000,House
Rawalpindi,18400000,House
Islamabad,2200000,House
Rawalpindi,37000000,House
Rawalpindi,24500000,House
Karachi,13500000,House
Faisalabad,17500000,House
Karachi,37000,House
Rawalpindi,26500,House
Lahore,20200000,House
Islamabad,3200000,House
Faisalabad,38000,House
Rawalpindi,19000,House
Rawalpindi,70000,House
Rawalpindi,36000,House
Faisalabad,10500000,House
Rawalpindi,7500000,House
Islamabad,21500000,House
Islamabad,142000,House
Faisalabad,2900000,House
Islamabad,39000000,House
Faisalabad,8700000,House
Karachi,825000,House
Rawalpindi,62000,House
Lahore,2650000,House
Islamabad,4100000,House
Lahore,15900000,House
Rawalpindi,67000,House
Lahore,9200000,House
Lahore,6600000,House
Lahore,6200000,House
Karachi,18000,House
Islamabad,31500000,House
Islamabad,8600000,House
Lahore,12900000,House
Islamabad,16200000,House
Lahore,22400000,House
Lahore,18900000,House
Karachi,9150000,House
Karachi,575000,House
Lahore,18500000,House
Lahore,20300000,House
Faisalabad,3450000,House
Karachi,7700000,House
Karachi,11200000,House
Faisalabad,26000,House
Faisalabad,6960000,House
Rawalpindi,6150000,House
Karachi,9800000,House
Islamabad,80000,House
Rawalpindi,11500000,House
Karachi,6300000,House
Karachi,275000,House
Karachi,310000,House
Faisalabad,6300000,House
Lahore,1700000,House
Islamabad,4150000,House
Islamabad,38800000,House
Lahore,8200000,House
Islamabad,4300000,House
Lahore,6800000,House
Islamabad,11000000,House
Karachi,7900000,House
Karachi,24000,House
Islamabad,13300000,House
Islamabad,273000,House
Lahore,39600000,House
Karachi,700000,House
Faisalabad,12500000,House
Karachi,12500000,House
Karachi,17500000,House
Lahore,8800000,House
Rawalpindi,34000,House
Islamabad,28000,House
Lahore,4150000,House
Karachi,9700000,House
Islamabad,5420000,House
Islamabad,475000,House
Islamabad,14500000,House
Faisalabad,22500000,House
Karachi,19900000,House
Faisalabad,80000,House
Islamabad,12800000,House
Rawalpindi,7700000,House
Islamabad,4250000,House
Rawalpindi,16200000,House
Rawalpindi,22500,House
Islamabad,15500,House
Lahore,16000000,House
Rawalpindi,15200000,House
Lahore,5250000,House
Rawalpindi,63000,House
Rawalpindi,13700000,House
Islamabad,13200000,House
Faisalabad,16000,House
Islamabad,6200000,House
Karachi,45000,House
Islamabad,426000,House
Lahore,1200000,House
Lahore,30600000,House
Islamabad,33500000,House
Islamabad,8200000,House
Karachi,3125000,House
Faisalabad,190000,House
Islamabad,12100000,House
Islamabad,340000,House
Faisalabad,1950000,House
Islamabad,18400000,House
Lahore,3495000,House
Lahore,20900000,House
Rawalpindi,6350000,House
Karachi,15000000,House
Faisalabad,7000000,House
Rawalpindi,100000,House
Islamabad,139000,House
Karachi,30500000,House
Karachi,22000,House
Rawalpindi,4400000,House
Islamabad,19200000,House
Faisalabad,2750000,House
Rawalpindi,18200000,House
Karachi,39900000,House
Rawalpindi,230000,House
Rawalpindi,5900000,House
Faisalabad,32500000,House
Islamabad,425000,House
Karachi,750000,House
Islamabad,9550000,House
Rawalpindi,33500000,House
Rawalpindi,6450000,House
Islamabad,9400000,House
Lahore,23600000,House
Islamabad,55000,House
Islamabad,27500000,House
Lahore,4700000,House
Lahore,13600000,House
Faisalabad,4100000,House
Karachi,1500000,House
Rawalpindi,20700000,House
Karachi,2750000,House
Islamabad,7200000,House
Faisalabad,23500000,House
Lahore,21000000,House
Karachi,32000000,House
Islamabad,30000,House
Karachi,95000,House
Faisalabad,18000,House
Karachi,6800000,House
Islamabad,5083000,House
Karachi,4200000,House
Karachi,6620000,House
Faisalabad,20200000,House
Rawalpindi,21000,House
Islamabad,17500,House
Karachi,32500000,House
Lahore,31000000,House
Islamabad,39500000,House
Islamabad,700000,House
Lahore,30800000,House
Karachi,17700000,House
Rawalpindi,3250000,House
Islamabad,285000,House
Karachi,9725000,House
Karachi,40300000,House
Karachi,80000,House
Islamabad,4800000,House
Rawalpindi,6200000,House
Lahore,8300000,House
Karachi,8700000,House
Lahore,3190000,House
Rawalpindi,54000,House
Islamabad,37000000,House
Rawalpindi,4800000,House
Islamabad,9300000,House
Lahore,4400000,House
Faisalabad,6470000,House
Islamabad,58000,House
Rawalpindi,29000000,House
Islamabad,57000,House
Karachi,39000,House
Karachi,460000,House
Islamabad,23800000,House
Islamabad,45000,House
Faisalabad,25000000,House
Lahore,29500000,House
Lahore,29000000,House
Faisalabad,3500000,House
Islamabad,8800000,House
Islamabad,17000,House
Rawalpindi,2450000,House
Islamabad,41000,House
Islamabad,118000,House
Rawalpindi,4750000,House
Lahore,5500000,House
Lahore,7200000,House
Islamabad,48000,House
Faisalabad,5250000,House
Rawalpindi,21500000,House
Islamabad,7100000,House
Islamabad,121000,House
Lahore,32000000,House
Faisalabad,2800000,House
Faisalabad,4900000,House
